Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Retail_Sales_Percentage
September,Japan,Apparel,Performance,Compression Wear,Mid-Range,35777,7513170,87,210,13
October,India,Footwear,Lifestyle,Air Force 1,Mid-Range,48761,6826540,86,140,14
January,India,Equipment,Bags,Gym Sack,Premium,33330,4332900,58,130,42
August,South Korea,Apparel,Tops,Therma-FIT,Premium,38300,8043000,77,210,23
May,Southeast Asia,Footwear,Basketball,LeBron Series,Budget,40333,3226640,70,80,30
September,Greater China,Footwear,Lifestyle,Air Force 1,Budget,19589,3721910,74,190,26
January,India,Apparel,Outerwear,Rain Jacket,Mid-Range,29713,3862690,61,130,39
August,South Korea,Footwear,Basketball,LeBron Series,Budget,25822,1549320,83,60,17
May,America,Equipment,Socks,Crew Socks,Mid-Range,47868,12924360,68,270,32
February,Southeast Asia,Equipment,Bags,Gym Sack,Premium,14342,4302600,55,300,45
October,Greater China,Apparel,Outerwear,Rain Jacket,Budget,47459,8542620,72,180,28
February,India,Footwear,Lifestyle,Air Force 1,Premium,33324,5665080,85,170,15
December,America,Apparel,Tops,Therma-FIT,Mid-Range,48156,4815600,77,100,23
November,South Korea,Apparel,Outerwear,Rain Jacket,Budget,9668,773440,50,80,50
September,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,46497,13019160,55,280,45
May,India,Equipment,Bags,Gym Sack,Budget,40023,4402530,72,110,28
November,South Korea,Apparel,Performance,Dri-FIT,Mid-Range,20895,5014800,71,240,29
January,Greater China,Apparel,Outerwear,Rain Jacket,Premium,38015,11404500,88,300,12
January,South Korea,Equipment,Bags,Gym Sack,Premium,45608,11402000,61,250,39
June,Southeast Asia,Equipment,Socks,Crew Socks,Premium,6685,2005500,52,300,48
October,Europe,Footwear,Running,Pegasus,Mid-Range,27118,7864220,72,290,28
June,Greater China,Footwear,Basketball,KD Series,Premium,15574,2803320,63,180,37
November,Southeast Asia,Apparel,Performance,Compression Wear,Budget,34614,4153680,89,120,11
July,Japan,Apparel,Outerwear,Rain Jacket,Budget,19804,3366680,64,170,36
February,America,Footwear,Football,Phantom Vision,Mid-Range,26040,7291200,56,280,44
February,Europe,Apparel,Performance,Compression Wear,Budget,25668,3080160,73,120,27
February,Japan,Equipment,Accessories,Bags,Budget,16912,4904480,63,290,37
June,Europe,Apparel,Outerwear,Rain Jacket,Premium,20702,4347420,64,210,36
September,Greater China,Apparel,Outerwear,Rain Jacket,Budget,48498,4849800,71,100,29
November,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,20355,2239050,70,110,30
July,Greater China,Apparel,Outerwear,Rain Jacket,Budget,35570,2845600,53,80,47
February,Greater China,Equipment,Accessories,Bags,Mid-Range,29655,5931000,90,200,10
February,South Korea,Footwear,Lifestyle,Blazer,Budget,27263,8178900,52,300,48
April,America,Footwear,Cricket,Vapor Cricket,Mid-Range,29642,8892600,83,300,17
March,America,Footwear,Cricket,Vapor Cricket,Mid-Range,24934,3490760,50,140,50
August,America,Footwear,Lifestyle,Air Force 1,Mid-Range,20762,3944780,59,190,41
October,Europe,Apparel,Performance,Dri-FIT,Budget,15167,4550100,85,300,15
March,Japan,Apparel,Outerwear,Windrunner,Mid-Range,33184,1659200,78,50,22
February,South Korea,Footwear,Running,React Infinity,Premium,6983,698300,62,100,38
February,Europe,Equipment,Accessories,Bags,Budget,13199,1583880,81,120,19
March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,13667,1230030,84,90,16
November,Japan,Apparel,Tops,Therma-FIT,Mid-Range,14576,3060960,81,210,19
May,Europe,Equipment,Bags,Backpack,Mid-Range,41984,12175360,63,290,37
December,Europe,Footwear,Running,Pegasus,Premium,46870,5155700,66,110,34
May,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,13242,2648400,89,200,11
October,South Korea,Equipment,Socks,Performance Socks,Mid-Range,25199,3275870,52,130,48
November,South Korea,Footwear,Cricket,Vapor Cricket,Budget,49867,11968080,66,240,34
January,Greater China,Equipment,Bags,Gym Sack,Premium,34759,7299390,56,210,44
August,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,12203,2440600,66,200,34
May,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,34267,4112040,54,120,46
June,Europe,Apparel,Performance,Compression Wear,Premium,9759,1854210,63,190,37
January,South Korea,Apparel,Outerwear,Windrunner,Premium,39351,6689670,70,170,30
June,India,Equipment,Bags,Gym Sack,Premium,13901,2085150,89,150,11
September,South Korea,Footwear,Running,React Infinity,Mid-Range,18569,1485520,52,80,48
December,America,Apparel,Tops,Therma-FIT,Budget,14998,3149580,59,210,41
April,South Korea,Footwear,Football,Phantom Vision,Mid-Range,7276,800360,87,110,13
July,America,Equipment,Accessories,Hats,Budget,49315,9369850,50,190,50
April,South Korea,Equipment,Socks,Crew Socks,Budget,29270,3219700,64,110,36
July,America,Apparel,Tops,Therma-FIT,Budget,34623,2769840,74,80,26
April,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,31758,5716440,54,180,46
March,South Korea,Footwear,Basketball,LeBron Series,Budget,20902,3135300,70,150,30
June,India,Footwear,Cricket,Vapor Cricket,Premium,28438,8247020,61,290,39
October,India,Apparel,Tops,Tech Fleece,Budget,42709,3843810,55,90,45
February,Greater China,Equipment,Accessories,Bags,Premium,15141,3633840,72,240,28
May,India,Equipment,Socks,Performance Socks,Mid-Range,31908,6381600,62,200,38
October,Southeast Asia,Equipment,Socks,Crew Socks,Budget,23709,6875610,76,290,24
November,Southeast Asia,Equipment,Socks,Performance Socks,Budget,27222,7894380,88,290,12
November,Japan,Equipment,Accessories,Hats,Budget,32047,7370810,76,230,24
February,Europe,Equipment,Accessories,Bags,Mid-Range,47887,6704180,85,140,15
June,Greater China,Footwear,Football,Mercurial,Premium,47260,8034200,50,170,50
March,Japan,Footwear,Running,React Infinity,Budget,23185,4405150,84,190,16
May,South Korea,Apparel,Outerwear,Rain Jacket,Premium,37706,9803560,90,260,10
August,Europe,Footwear,Basketball,KD Series,Budget,48951,5384610,74,110,26
October,South Korea,Apparel,Performance,Dri-FIT,Premium,40620,11779800,52,290,48
September,Greater China,Equipment,Accessories,Hats,Budget,31498,5669640,74,180,26
June,Greater China,Apparel,Performance,Dri-FIT,Budget,38295,8807850,88,230,12
May,India,Footwear,Football,Phantom Vision,Budget,26582,6911320,80,260,20
November,Southeast Asia,Footwear,Basketball,Air Jordan,Premium,25327,5571940,73,220,27
September,Japan,Apparel,Tops,Tech Fleece,Premium,11159,1004310,90,90,10
September,Greater China,Footwear,Basketball,KD Series,Budget,29145,7286250,87,250,13
May,South Korea,Apparel,Tops,Therma-FIT,Premium,10849,1301880,85,120,15
March,America,Equipment,Socks,Crew Socks,Mid-Range,23576,3064880,78,130,22
January,America,Equipment,Bags,Backpack,Budget,17353,3644130,72,210,28
November,South Korea,Apparel,Outerwear,Windrunner,Premium,34752,9730560,64,280,36
June,Japan,Equipment,Socks,Crew Socks,Budget,31632,9173280,56,290,44
April,Europe,Footwear,Football,Mercurial,Mid-Range,18543,2966880,67,160,33
March,Europe,Equipment,Accessories,Hats,Mid-Range,18869,5660700,60,300,40
May,Europe,Footwear,Lifestyle,Air Force 1,Premium,30306,6061200,57,200,43
December,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,38275,8803250,66,230,34
November,America,Footwear,Running,Pegasus,Mid-Range,21022,1681760,51,80,49
October,America,Apparel,Performance,Compression Wear,Budget,23527,6352290,67,270,33
December,America,Equipment,Bags,Backpack,Mid-Range,28350,7654500,63,270,37
October,South Korea,Equipment,Bags,Gym Sack,Premium,48978,8326260,73,170,27
December,Europe,Footwear,Basketball,LeBron Series,Premium,44791,3135370,66,70,34
May,America,Equipment,Socks,Performance Socks,Premium,11269,1915730,68,170,32
July,Japan,Equipment,Socks,Performance Socks,Premium,17245,4828600,51,280,49
August,South Korea,Apparel,Tops,Tech Fleece,Premium,26006,1300300,79,50,21
May,Southeast Asia,Equipment,Bags,Gym Sack,Premium,46989,10807470,59,230,41
October,America,Apparel,Performance,Dri-FIT,Budget,42409,4240900,77,100,23
February,Greater China,Apparel,Outerwear,Windrunner,Premium,30036,6607920,71,220,29
February,South Korea,Apparel,Performance,Compression Wear,Budget,38877,3498930,59,90,41
October,Greater China,Equipment,Bags,Backpack,Premium,38457,2307420,53,60,47
July,Europe,Footwear,Running,Air Zoom,Budget,48598,2915880,77,60,23
January,Southeast Asia,Equipment,Accessories,Hats,Premium,17458,2793280,76,160,24
February,Japan,Footwear,Basketball,LeBron Series,Mid-Range,9210,2394600,86,260,14
June,Japan,Footwear,Running,Air Zoom,Budget,43304,6928640,64,160,36
January,Europe,Equipment,Bags,Gym Sack,Premium,11470,1032300,59,90,41
August,Japan,Footwear,Lifestyle,Air Max,Mid-Range,12727,3054480,73,240,27
January,Southeast Asia,Footwear,Lifestyle,Air Max,Premium,40727,8145400,84,200,16
May,America,Footwear,Running,Pegasus,Premium,18093,1266510,66,70,34
January,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,35894,8614560,56,240,44
March,Greater China,Footwear,Cricket,Vapor Cricket,Premium,28663,2866300,82,100,18
December,South Korea,Footwear,Cricket,Vapor Cricket,Mid-Range,25039,5758970,85,230,15
March,South Korea,Equipment,Bags,Backpack,Mid-Range,26249,7349720,55,280,45
November,America,Footwear,Lifestyle,Air Max,Mid-Range,20526,5336760,55,260,45
January,Greater China,Apparel,Performance,Compression Wear,Premium,16756,1172920,56,70,44
March,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,7882,1970500,59,250,41
January,Europe,Apparel,Outerwear,Rain Jacket,Budget,36582,9511320,81,260,19
May,America,Apparel,Outerwear,Windrunner,Premium,48177,14453100,53,300,47
August,India,Footwear,Football,Mercurial,Budget,46338,6950700,64,150,36
January,India,Footwear,Basketball,KD Series,Mid-Range,47343,11835750,87,250,13
July,Japan,Apparel,Performance,Compression Wear,Premium,12945,3106800,66,240,34
October,Europe,Equipment,Bags,Backpack,Budget,5248,1574400,73,300,27
February,Europe,Footwear,Basketball,Air Jordan,Premium,11691,1169100,51,100,49
July,Europe,Footwear,Basketball,Air Jordan,Mid-Range,6668,866840,74,130,26
August,America,Equipment,Socks,Crew Socks,Premium,46693,12140180,59,260,41
May,Japan,Footwear,Lifestyle,Blazer,Premium,44299,11960730,87,270,13
September,Japan,Footwear,Lifestyle,Air Force 1,Mid-Range,20109,1005450,74,50,26
September,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,16258,1300640,60,80,40
June,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,47663,2859780,71,60,29
August,South Korea,Footwear,Running,Air Zoom,Budget,37890,10988100,62,290,38
February,South Korea,Equipment,Bags,Gym Sack,Premium,46554,6983100,77,150,23
March,America,Apparel,Tops,Tech Fleece,Mid-Range,21235,4671700,87,220,13
March,India,Equipment,Accessories,Bags,Mid-Range,44806,9409260,76,210,24
August,South Korea,Equipment,Accessories,Hats,Premium,45238,5880940,75,130,25
February,South Korea,Equipment,Socks,Performance Socks,Premium,16435,3451350,74,210,26
November,Europe,Footwear,Running,Air Zoom,Mid-Range,13131,1313100,66,100,34
May,America,Equipment,Socks,Performance Socks,Premium,28331,4249650,82,150,18
March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,46070,13821000,79,300,21
February,South Korea,Footwear,Running,React Infinity,Budget,28383,5392770,62,190,38
October,Japan,Equipment,Accessories,Bags,Budget,43425,8685000,60,200,40
December,South Korea,Apparel,Tops,Therma-FIT,Mid-Range,26534,5306800,73,200,27
April,Europe,Equipment,Bags,Gym Sack,Budget,22560,2256000,83,100,17
July,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,36096,6136320,50,170,50
March,America,Apparel,Outerwear,Windrunner,Premium,34400,2408000,62,70,38
July,India,Footwear,Football,Mercurial,Budget,32558,5209280,82,160,18
November,Europe,Apparel,Tops,Therma-FIT,Budget,13551,813060,61,60,39
May,America,Footwear,Cricket,Vapor Cricket,Budget,46947,2347350,84,50,16
September,Southeast Asia,Apparel,Outerwear,Rain Jacket,Mid-Range,14191,993370,85,70,15
March,Greater China,Apparel,Performance,Compression Wear,Budget,13384,3747520,50,280,50
July,Japan,Apparel,Outerwear,Windrunner,Premium,30645,5516100,75,180,25
September,America,Equipment,Accessories,Bags,Budget,13249,2914780,78,220,22
February,India,Equipment,Accessories,Hats,Mid-Range,46496,3719680,75,80,25
January,Greater China,Footwear,Running,Pegasus,Premium,24043,1923440,64,80,36
January,Greater China,Equipment,Bags,Backpack,Mid-Range,28958,6660340,51,230,49
February,America,Footwear,Running,React Infinity,Premium,31946,1916760,87,60,13
October,Japan,Equipment,Bags,Gym Sack,Budget,46000,11960000,88,260,12
June,South Korea,Equipment,Accessories,Hats,Budget,28707,4018980,60,140,40
June,India,Footwear,Basketball,LeBron Series,Mid-Range,33490,2344300,80,70,20
May,Europe,Equipment,Socks,Crew Socks,Mid-Range,47752,8595360,54,180,46
April,Southeast Asia,Footwear,Running,Pegasus,Premium,36810,11043000,78,300,22
July,America,Apparel,Performance,Dri-FIT,Budget,24373,3655950,84,150,16
June,South Korea,Apparel,Performance,Dri-FIT,Premium,16136,4840800,71,300,29
October,Europe,Footwear,Lifestyle,Air Max,Premium,29114,1746840,58,60,42
July,America,Footwear,Football,Phantom Vision,Premium,48966,10282860,51,210,49
August,America,Apparel,Tops,Tech Fleece,Mid-Range,13477,673850,62,50,38
June,America,Equipment,Accessories,Bags,Mid-Range,39529,7510510,58,190,42
March,Greater China,Apparel,Performance,Dri-FIT,Premium,48818,8787240,90,180,10
October,America,Footwear,Basketball,Air Jordan,Mid-Range,48698,5843760,88,120,12
July,India,Equipment,Bags,Backpack,Budget,16921,3553410,65,210,35
December,Southeast Asia,Equipment,Socks,Crew Socks,Premium,43906,9220260,50,210,50
August,Europe,Apparel,Outerwear,Windrunner,Mid-Range,35554,2133240,90,60,10
October,Greater China,Equipment,Bags,Backpack,Budget,10701,2033190,65,190,35
April,Japan,Equipment,Bags,Backpack,Premium,36747,5879520,56,160,44
April,India,Apparel,Outerwear,Rain Jacket,Mid-Range,31764,5082240,74,160,26
February,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,39777,11137560,72,280,28
October,Greater China,Apparel,Outerwear,Rain Jacket,Premium,15851,2219140,79,140,21
June,Greater China,Apparel,Outerwear,Windrunner,Budget,40981,4098100,76,100,24
January,America,Apparel,Outerwear,Windrunner,Mid-Range,43842,11837340,62,270,38
June,Greater China,Apparel,Outerwear,Windrunner,Premium,23621,7086300,68,300,32
December,Europe,Equipment,Accessories,Hats,Mid-Range,26797,8039100,55,300,45
July,Europe,Footwear,Football,Phantom Vision,Mid-Range,21874,5905980,84,270,16
March,Europe,Apparel,Tops,Tech Fleece,Mid-Range,30887,8339490,72,270,28
June,America,Apparel,Tops,Therma-FIT,Premium,46707,7006050,61,150,39
May,Greater China,Equipment,Accessories,Hats,Mid-Range,43332,6499800,52,150,48
August,South Korea,Footwear,Running,Pegasus,Budget,17385,869250,87,50,13
April,America,Apparel,Performance,Dri-FIT,Budget,23160,5326800,73,230,27
May,India,Apparel,Performance,Compression Wear,Budget,24495,1714650,53,70,47
June,Europe,Apparel,Outerwear,Rain Jacket,Premium,48710,13151700,77,270,23
February,America,Equipment,Socks,Crew Socks,Premium,21620,3026800,75,140,25
June,India,Apparel,Outerwear,Rain Jacket,Premium,14102,1410200,88,100,12
October,Europe,Equipment,Socks,Performance Socks,Mid-Range,48555,4369950,61,90,39
May,America,Equipment,Bags,Gym Sack,Budget,40117,2407020,66,60,34
December,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,43220,11669400,82,270,18
April,America,Apparel,Performance,Compression Wear,Premium,35933,8623920,62,240,38
October,Japan,Apparel,Performance,Compression Wear,Premium,18365,2571100,69,140,31
December,Southeast Asia,Equipment,Bags,Gym Sack,Premium,34732,6599080,84,190,16
December,Japan,Footwear,Cricket,Vapor Cricket,Budget,48785,3902800,75,80,25
November,America,Footwear,Cricket,Vapor Cricket,Budget,14199,3265770,72,230,28
September,Japan,Equipment,Socks,Performance Socks,Premium,45125,6768750,53,150,47
September,India,Apparel,Tops,Tech Fleece,Premium,32020,8325200,62,260,38
August,India,Equipment,Socks,Performance Socks,Mid-Range,48701,7792160,55,160,45
June,Greater China,Footwear,Lifestyle,Air Force 1,Mid-Range,7535,2185150,52,290,48
February,America,Footwear,Basketball,LeBron Series,Premium,37161,5202540,68,140,32
May,Japan,Apparel,Outerwear,Windrunner,Premium,42278,2536680,62,60,38
June,India,Equipment,Socks,Performance Socks,Budget,33002,2970180,55,90,45
April,India,Equipment,Socks,Crew Socks,Premium,42179,6748640,73,160,27
October,South Korea,Footwear,Lifestyle,Blazer,Premium,5918,591800,69,100,31
October,India,Equipment,Socks,Crew Socks,Mid-Range,25544,5619680,72,220,28
August,America,Apparel,Tops,Therma-FIT,Budget,32897,3947640,65,120,35
June,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,19823,2775220,75,140,25
August,India,Apparel,Performance,Dri-FIT,Budget,44803,2688180,89,60,11
May,South Korea,Equipment,Bags,Backpack,Budget,19094,4200680,62,220,38
January,Europe,Apparel,Outerwear,Rain Jacket,Budget,10815,2703750,76,250,24
February,Japan,Footwear,Football,Mercurial,Budget,32822,7877280,55,240,45
August,Europe,Equipment,Socks,Crew Socks,Premium,7360,1766400,70,240,30
March,South Korea,Equipment,Bags,Gym Sack,Budget,41855,5022600,71,120,29
May,South Korea,Equipment,Accessories,Hats,Mid-Range,45270,9959400,68,220,32
December,Greater China,Footwear,Football,Mercurial,Mid-Range,6196,867440,82,140,18
May,America,Apparel,Tops,Tech Fleece,Premium,35066,4558580,77,130,23
April,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,19979,2996850,67,150,33
February,Southeast Asia,Footwear,Basketball,KD Series,Mid-Range,20775,3324000,54,160,46
June,America,Equipment,Accessories,Bags,Premium,38431,3843100,74,100,26
December,India,Equipment,Accessories,Bags,Premium,45317,5438040,90,120,10
October,Greater China,Footwear,Lifestyle,Air Force 1,Premium,32471,7468330,87,230,13
September,America,Footwear,Football,Mercurial,Premium,44300,6202000,71,140,29
September,India,Equipment,Socks,Performance Socks,Premium,20419,6125700,54,300,46
March,South Korea,Apparel,Outerwear,Windrunner,Premium,49035,4903500,75,100,25
June,America,Equipment,Bags,Gym Sack,Mid-Range,28120,7873600,77,280,23
September,Greater China,Equipment,Socks,Performance Socks,Mid-Range,45500,6370000,60,140,40
September,Europe,Apparel,Outerwear,Windrunner,Budget,43225,2593500,81,60,19
March,Europe,Footwear,Football,Mercurial,Budget,32814,4922100,53,150,47
June,Europe,Apparel,Outerwear,Rain Jacket,Budget,19807,4357540,73,220,27
May,Greater China,Footwear,Football,Mercurial,Premium,8861,974710,73,110,27
July,Europe,Apparel,Performance,Dri-FIT,Premium,7001,700100,90,100,10
July,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,36808,10306240,74,280,26
November,Europe,Equipment,Accessories,Bags,Budget,16821,1513890,77,90,23
April,Greater China,Footwear,Basketball,Air Jordan,Premium,45686,10507780,56,230,44
December,Japan,Apparel,Outerwear,Rain Jacket,Premium,35978,9714060,80,270,20
December,India,Equipment,Socks,Performance Socks,Premium,11499,1149900,71,100,29
December,Japan,Equipment,Bags,Gym Sack,Budget,39321,10223460,58,260,42
December,America,Equipment,Bags,Backpack,Premium,8529,767610,65,90,35
June,South Korea,Equipment,Accessories,Bags,Premium,40467,6070050,78,150,22
March,Greater China,Equipment,Bags,Gym Sack,Mid-Range,20751,3527670,63,170,37
November,Greater China,Footwear,Lifestyle,Air Force 1,Budget,6167,1788430,80,290,20
March,South Korea,Equipment,Bags,Backpack,Mid-Range,26012,3641680,54,140,46
December,Japan,Footwear,Basketball,LeBron Series,Premium,33549,4025880,73,120,27
November,Japan,Apparel,Outerwear,Windrunner,Premium,24397,5611310,62,230,38
September,America,Footwear,Football,Phantom Vision,Budget,24032,6969280,77,290,23
September,Greater China,Apparel,Outerwear,Rain Jacket,Premium,31506,3465660,89,110,11
June,Europe,Equipment,Bags,Backpack,Budget,5204,1092840,86,210,14
May,America,Footwear,Basketball,LeBron Series,Budget,32810,9186800,61,280,39
December,Greater China,Footwear,Football,Mercurial,Mid-Range,13935,2508300,80,180,20
October,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,11789,1178900,65,100,35
August,South Korea,Equipment,Bags,Gym Sack,Premium,32930,7573900,65,230,35
February,South Korea,Equipment,Accessories,Bags,Mid-Range,30908,1545400,70,50,30
April,India,Apparel,Performance,Compression Wear,Mid-Range,34547,9327690,61,270,39
June,Japan,Equipment,Bags,Gym Sack,Mid-Range,21383,4918090,60,230,40
November,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,37241,7820610,73,210,27
July,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,42093,5472090,53,130,47
November,America,Apparel,Tops,Tech Fleece,Mid-Range,14181,3687060,64,260,36
May,America,Equipment,Accessories,Bags,Budget,39209,5881350,79,150,21
May,Europe,Equipment,Accessories,Hats,Premium,47189,10381580,66,220,34
December,India,Equipment,Accessories,Hats,Premium,13576,2579440,70,190,30
June,India,Apparel,Outerwear,Rain Jacket,Budget,12056,2411200,55,200,45
January,Greater China,Equipment,Bags,Backpack,Mid-Range,8922,2230500,61,250,39
September,Japan,Equipment,Socks,Crew Socks,Mid-Range,9146,2560880,58,280,42
June,Southeast Asia,Apparel,Tops,Therma-FIT,Premium,15815,1107050,71,70,29
February,Greater China,Equipment,Accessories,Bags,Premium,48062,3364340,79,70,21
July,America,Footwear,Football,Phantom Vision,Mid-Range,39446,10255960,73,260,27
September,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,43743,11810610,62,270,38
July,Japan,Footwear,Cricket,Vapor Cricket,Premium,49214,5905680,87,120,13
September,America,Equipment,Accessories,Hats,Budget,13429,671450,57,50,43
March,India,Footwear,Basketball,Air Jordan,Budget,34185,6495150,81,190,19
August,America,Equipment,Socks,Performance Socks,Budget,45111,12631080,89,280,11
April,Europe,Footwear,Basketball,LeBron Series,Mid-Range,23633,3072290,59,130,41
September,South Korea,Equipment,Bags,Backpack,Mid-Range,8166,2123160,50,260,50
December,America,Apparel,Outerwear,Windrunner,Mid-Range,40694,11801260,68,290,32
January,South Korea,Equipment,Accessories,Bags,Premium,42040,2942800,79,70,21
July,India,Equipment,Socks,Performance Socks,Premium,39083,10943240,76,280,24
December,South Korea,Apparel,Outerwear,Windrunner,Premium,20586,1029300,78,50,22
November,South Korea,Apparel,Outerwear,Windrunner,Budget,21072,1685760,89,80,11
August,India,Equipment,Accessories,Hats,Budget,27074,5414800,86,200,14
August,Japan,Apparel,Outerwear,Rain Jacket,Budget,27739,1664340,50,60,50
June,India,Footwear,Basketball,KD Series,Mid-Range,19144,3828800,71,200,29
April,America,Equipment,Accessories,Bags,Budget,23104,5082880,85,220,15
February,Europe,Equipment,Socks,Crew Socks,Budget,26136,4443120,78,170,22
June,Japan,Apparel,Outerwear,Windrunner,Budget,31376,7844000,54,250,46
May,India,Apparel,Outerwear,Windrunner,Mid-Range,15046,3761500,88,250,12
February,Europe,Apparel,Tops,Therma-FIT,Premium,8137,2115620,59,260,41
August,America,Footwear,Football,Mercurial,Premium,21248,5099520,53,240,47
March,South Korea,Apparel,Tops,Tech Fleece,Premium,7242,506940,60,70,40
October,Europe,Equipment,Socks,Crew Socks,Premium,9312,1862400,60,200,40
June,Southeast Asia,Footwear,Lifestyle,Blazer,Mid-Range,47243,3307010,87,70,13
July,South Korea,Apparel,Performance,Dri-FIT,Premium,27633,1934310,63,70,37
April,Southeast Asia,Equipment,Accessories,Hats,Premium,40542,4865040,55,120,45
November,America,Footwear,Cricket,Vapor Cricket,Budget,22761,6828300,74,300,26
December,Japan,Equipment,Bags,Backpack,Mid-Range,41202,2060100,89,50,11
August,India,Equipment,Socks,Performance Socks,Budget,19369,5423320,64,280,36
December,America,Apparel,Tops,Tech Fleece,Budget,28738,1436900,88,50,12
April,Japan,Equipment,Socks,Crew Socks,Premium,9244,1848800,70,200,30
July,South Korea,Apparel,Outerwear,Windrunner,Premium,15989,2558240,61,160,39
June,Japan,Footwear,Football,Mercurial,Budget,23927,2153430,54,90,46
April,Japan,Equipment,Accessories,Hats,Premium,18952,3411360,78,180,22
December,Greater China,Footwear,Football,Phantom Vision,Budget,6270,313500,67,50,33
March,India,Footwear,Cricket,Vapor Cricket,Mid-Range,29651,5337180,66,180,34
October,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,10017,1001700,88,100,12
September,Japan,Apparel,Tops,Tech Fleece,Premium,42516,8928360,78,210,22
October,India,Equipment,Accessories,Hats,Mid-Range,9870,987000,82,100,18
July,Europe,Equipment,Socks,Performance Socks,Mid-Range,14668,2640240,88,180,12
August,Japan,Footwear,Football,Phantom Vision,Premium,15078,2261700,74,150,26
May,South Korea,Equipment,Socks,Crew Socks,Premium,26242,1312100,52,50,48
December,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,18133,5077240,68,280,32
